x;y;ap1_range;ap2_range;ap3_range;ap4_range;ap5_range;ap1_range_sq;ap2_range_sq;ap3_range_sq;ap4_range_sq;ap5_range_sq
1.7;10.5;684.2792471;3035.670775;375.3371633;765.3825486;660.4255159;468238.088;9215297.054;140877.9862;585810.4457;436161.8621
1.7;11.5;910.2547061;4148.425924;267.5713515;742.8610476;677.2523111;828563.63;17209437.65;71594.42814;551842.536;458670.6929
1.7;12.5;895.8402224;7161.803335;401.9233006;636.0312419;676.0347;802529.7041;51291427.01;161542.3396;404535.7407;457022.9156
1.7;13.5;893.0664385;4672.231226;462.9403056;637.1891736;680.8234101;797567.6636;21829744.63;214313.7265;406010.043;463520.5157
1.7;14.5;1108.483333;10151.59088;803.9302325;494.3525828;521.2475709;1228735.3;103054797.4;646303.8187;244384.4761;271699.0302
1.7;15.5;1049.587591;67910.47477;706.053841;424.729897;419.7660591;1101634.111;4611832583;498512.0264;180395.4854;176203.5444
1.7;16.5;1211.359341;19236.16144;921.129137;364.8240528;279.3139558;1467391.453;370029906.9;848478.887;133096.5895;78016.2859
1.7;17.5;1194.462241;51251.14522;706.9993709;317.0813846;377.1798689;1426740.045;2626679886;499848.1105;100540.6045;142264.6535
1.7;18.5;1149.190411;32236.80735;1069.006275;499.3528909;341.3576295;1320638.601;1039211748;1142774.416;249353.3097;116525.0312
2.7;0.5;304.7587578;206.218902;796.1177574;1112.132455;1349.830869;92877.90046;42526.23554;633803.4836;1236838.597;1822043.375
2.7;1.5;335.3322018;300.9111244;762.2606242;1102.083632;1387.948523;112447.6856;90547.50479;581041.2592;1214588.332;1926401.102
2.7;2.5;281.0801548;191.5736565;552.5839484;1296.700724;1354.783584;79006.05342;36700.46586;305349.02;1681432.768;1835438.559
2.7;3.5;354.3128707;721.4255102;457.5841465;1035.679124;1294.758933;125537.6103;520454.7668;209383.2511;1072631.248;1676400.695
2.7;4.5;393.7907052;595.7173267;471.1130545;1109.165421;1194.661172;155071.1195;354879.1333;221947.5101;1230247.931;1427215.316
