x;y;ap1 range (m);ap2 range (m);ap3 range (m);ap4 range (m);ap5 range (m);ap1 std (m);ap2 std (m);ap3 std (m);ap4 std (m);ap5 std (m)
3.7;14.5;1061.605386;13903.9767;664.2352048;453.1660917;564.7571294;16.16442934;1331.871861;20.23230548;21.90101123;20.30021688
3.7;15.5;1155.934223;13512.49877;692.7321666;354.6962271;429.7117368;23.37815812;1395.422648;21.11887767;21.56049866;23.39016361
3.7;16.5;1177.335121;30427.97948;846.0138616;253.9503725;403.7693336;18.65468932;2830.141545;19.99044512;16.80625367;21.39343582
3.7;17.5;1051.733873;31567.44198;794.5872733;193.6393353;357.1772644;20.61058186;3997.234628;17.91149124;19.40145096;25.24156637
3.7;18.5;1151.18162;74623.36198;968.3120172;200.9302282;468.8047024;25.06799574;10964.29702;24.24467578;31.48696112;39.21254525
4.7;0.5;464.6653056;88.2342911;720.0401948;1290.448608;1281.791538;18.33255895;6.345632524;22.31921722;23.74089786;17.14065883
4.7;1.5;424.5969179;154.4192993;691.4983351;1171.575514;1322.017884;21.33767669;17.81890393;20.98496983;32.33064273;23.92251917
4.7;2.5;537.4176225;204.1226175;683.5166077;1134.597517;1476.611121;17.10166477;26.49740898;31.51472439;29.46621755;30.49729726
4.7;3.5;498.6003935;221.8171168;511.6116934;1089.800236;1273.080727;21.69910927;21.91936458;18.0577072;24.66565616;28.4895401
4.7;4.5;494.5991902;481.2980822;401.6400079;1064.593203;1275.105462;23.73747226;49.25077649;26.49047972;24.58162152;22.28222725
4.7;5.5;460.9458772;710.0258398;513.4933916;1100.172695;1153.966218;19.80722339;57.83811329;19.76859613;82.08836318;28.36877958
4.7;6.5;482.7364678;843.1099917;288.8879027;1051.37321;1014.404108;17.93134316;96.00135943;21.34956295;53.62457509;34.65419671
4.7;7.5;589.8578842;1016.126747;209.1076436;1127.190015;882.1844453;18.18531251;156.1894672;13.90195553;25.56448027;23.15664611
4.7;8.5;678.5512234;1917.938067;129.2524911;1067.215674;1059.693654;18.96742504;178.6392192;23.73581333;58.62745617;24.33589248
4.7;9.5;634.2092501;2349.731403;179.8243005;828.3457676;950.680572;19.16311582;239.2777837;24.04759341;39.3461134;22.67940714
4.7;10.5;834.9362811;2229.710066;253.9126566;770.3774204;644.3893001;25.16430113;265.0468214;21.31181335;17.16778268;25.71178641
4.7;11.5;865.293403;6671.495432;370.4962793;659.5426818;799.9413242;18.98556822;876.0517226;20.38690666;25.99024505;20.44604441
4.7;12.5;887.7596783;12731.18154;613.2233963;645.9330728;593.5150452;25.45933433;1458.908947;17.4225903;19.3860771;28.88196974
4.7;13.5;1044.266838;17754.25775;608.1774494;491.2017037;574.702807;20.72229784;2082.138502;21.40732419;19.83692496;23.12295312
4.7;14.5;1064.596417;49531.65941;713.2810599;484.4498199;738.572865;26.98811809;12249.33349;18.15736254;20.95717319;18.33546149
4.7;15.5;1134.462977;20886.87739;941.6312218;326.7982261;548.85962;21.9985847;2920.772577;18.78751894;20.23914521;22.70656224
4.7;16.5;1243.434715;14452.71214;673.7185893;228.0445866;698.1004094;20.08487196;2352.799013;18.57236999;46.94708805;23.37294713
4.7;17.5;1139.610065;41668.27641;923.8440249;209.2773053;552.3528446;23.98170025;4884.965962;19.71860118;17.91678671;17.10851965
4.7;18.5;1211.425089;52037.74877;1038.299956;148.607206;372.6520268;24.09844797;5196.285956;22.29888523;20.69584881;20.41490853
